"A-1 NUMBER OF VILLAGES, TOWNS, HOUSEHOLDS, POPULATION AND AREA",,,,,,,,,,,,,,
"State  Code","District Code","Sub District Code","India/ State/ Union Territory/ District/ Sub-district",Name,"Total/
Rural/
Urban","Number of villages",,"Number of towns","Number of households",Population,,,"Area
 (In sq. km)","Population per sq. km."
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,
01,018,00071,SUB-DISTRICT,"Atholi (Paddar)",Rural,32,0,0,4259,21548,11277,10271,248.11,87
01,018,00071,SUB-DISTRICT,"Atholi (Paddar)",Urban,0,0,0,0,0,0,0,0,0
01,019,00000,DISTRICT,Udhampur,Total,325,6,6,99240,554985,296784,258201,2637,210
01,019,00000,DISTRICT,Udhampur,Rural,325,6,0,78887,446777,232974,213803,2593.2800000000002,172
01,019,00000,DISTRICT,Udhampur,Urban,0,0,6,20353,108208,63810,44398,43.72,2475
01,019,00072,SUB-DISTRICT,Udhampur,Total,149,3,3,50555,275559,151318,124241,808.71,341
01,019,00072,SUB-DISTRICT,Udhampur,Rural,149,3,0,32338,177828,92989,84839,771.39,231
01,019,00072,SUB-DISTRICT,Udhampur,Urban,0,0,3,18217,97731,58329,39402,37.32,2619
01,019,00073,SUB-DISTRICT,Chenani,Total,46,1,2,11125,64753,33624,31129,312.12,207
01,019,00073,SUB-DISTRICT,Chenani,Rural,46,1,0,10319,60568,31380,29188,310.33,195
01,019,00073,SUB-DISTRICT,Chenani,Urban,0,0,2,806,4185,2244,1941,1.79,2338
01,019,00074,SUB-DISTRICT,Ramnagar,Total,88,2,1,28317,167010,86755,80255,1025.6500000000001,163
01,019,00074,SUB-DISTRICT,Ramnagar,Rural,88,2,0,26987,160718,83518,77200,1020.94,157
01,019,00074,SUB-DISTRICT,Ramnagar,Urban,0,0,1,1330,6292,3237,3055,4.71,1336
01,019,00075,SUB-DISTRICT,Majalta,Total,42,0,0,9243,47663,25087,22576,235.35,203
01,019,00075,SUB-DISTRICT,Majalta,Rural,42,0,0,9243,47663,25087,22576,235.35,203
01,019,00075,SUB-DISTRICT,Majalta,Urban,0,0,0,0,0,0,0,0,0
01,020,00000,DISTRICT,Reasi,Total,253,2,5,56689,314667,166461,148206,1719,183
01,020,00000,DISTRICT,Reasi,Rural,253,2,0,51659,287671,151481,136190,1679.99,171
01,020,00000,DISTRICT,Reasi,Urban,0,0,5,5030,26996,14980,12016,39.01,692
01,020,00076,SUB-DISTRICT,Gool-Gulabgarh,Total,61,0,0,25782,147843,78181,69662,857.26,172
01,020,00076,SUB-DISTRICT,Gool-Gulabgarh,Rural,61,0,0,25782,147843,78181,69662,857.26,172
