yeat,temperature,uncertainity,state,country,lang,lat
1803/12/01,25.413,2.56,Bombay,India,18.48N,72.68E
1804/01/01,24.862,3.64,Bombay,India,18.48N,72.68E
1804/02/01,23.976,1.925,Bombay,India,18.48N,72.68E
1804/03/01,25.311999999999998,3.297,Bombay,India,18.48N,72.68E
1804/04/01,29.017,1.641,Bombay,India,18.48N,72.68E
1804/05/01,29.737,1.643,Bombay,India,18.48N,72.68E
1804/06/01,29.410999999999998,1.446,Bombay,India,18.48N,72.68E
1804/07/01,28.846,2.145,Bombay,India,18.48N,72.68E
1804/08/01,27.226,1.596,Bombay,India,18.48N,72.68E
1804/09/01,27.725,2.994,Bombay,India,18.48N,72.68E
1804/10/01,27.761,1.773,Bombay,India,18.48N,72.68E
1804/11/01,28.435,3.232,Bombay,India,18.48N,72.68E
1804/12/01,25.061,3.437,Bombay,India,18.48N,72.68E
1805/01/01,24.461,1.617,Bombay,India,18.48N,72.68E
1805/02/01,23.796999999999997,2.212,Bombay,India,18.48N,72.68E
1805/03/01,25.96,1.395,Bombay,India,18.48N,72.68E
1805/04/01,26.92,1.878,Bombay,India,18.48N,72.68E
1805/05/01,29.166,1.2,Bombay,India,18.48N,72.68E
1805/06/01,29.391,2.331,Bombay,India,18.48N,72.68E
1805/07/01,27.136999999999997,1.582,Bombay,India,18.48N,72.68E
1805/08/01,27.589000000000002,1.0759999999999998,Bombay,India,18.48N,72.68E
1805/09/01,27.104,1.937,Bombay,India,18.48N,72.68E
1805/10/01,26.465,2.059,Bombay,India,18.48N,72.68E
1805/11/01,26.88,2.874,Bombay,India,18.48N,72.68E
1805/12/01,26.476999999999997,1.3730000000000002,Bombay,India,18.48N,72.68E
1806/01/01,24.361,1.79,Bombay,India,18.48N,72.68E
1806/02/01,23.695999999999998,2.3480000000000003,Bombay,India,18.48N,72.68E
1806/03/01,25.034000000000002,1.827,Bombay,India,18.48N,72.68E
1806/04/01,27.26,2.716,Bombay,India,18.48N,72.68E
1806/05/01,28.956999999999997,1.676,Bombay,India,18.48N,72.68E
1806/06/01,27.426,1.686,Bombay,India,18.48N,72.68E
1806/07/01,27.155,1.465,Bombay,India,18.48N,72.68E
1806/08/01,27.3,1.629,Bombay,India,18.48N,72.68E
1806/09/01,28.089000000000002,1.889,Bombay,India,18.48N,72.68E
1806/10/01,27.395,1.404,Bombay,India,18.48N,72.68E
1806/11/01,27.364,1.936,Bombay,India,18.48N,72.68E
1806/12/01,26.031,2.028,Bombay,India,18.48N,72.68E
1807/01/01,23.365,2.338,Bombay,India,18.48N,72.68E
1807/02/01,23.375,3.032,Bombay,India,18.48N,72.68E
1807/03/01,,,Bombay,India,18.48N,72.68E
1807/04/01,,,Bombay,India,18.48N,72.68E
1807/05/01,26.894,1.599,Bombay,India,18.48N,72.68E
1807/06/01,29.009,1.494,Bombay,India,18.48N,72.68E
1807/07/01,27.866,2.072,Bombay,India,18.48N,72.68E
1807/08/01,26.897,1.803,Bombay,India,18.48N,72.68E
1807/09/01,27.613000000000003,1.587,Bombay,India,18.48N,72.68E
1807/10/01,27.121,1.278,Bombay,India,18.48N,72.68E
1807/11/01,27.173000000000002,2.141,Bombay,India,18.48N,72.68E
1807/12/01,26.686,1.642,Bombay,India,18.48N,72.68E
1808/01/01,,,Bombay,India,18.48N,72.68E
1808/02/01,,,Bombay,India,18.48N,72.68E
1808/03/01,,,Bombay,India,18.48N,72.68E
1808/04/01,,,Bombay,India,18.48N,72.68E
1808/05/01,,,Bombay,India,18.48N,72.68E
1808/06/01,,,Bombay,India,18.48N,72.68E
1808/07/01,,,Bombay,India,18.48N,72.68E
